Stock,Year,Recruits,Spawners
Stock1,1948,0.198153,0.019979
Stock1,1949,1.030708,0.582228
Stock1,1950,0.241087,0.059104
Stock1,1951,0.173645,0.060423
Stock1,1952,0.088572,0.030191
Stock1,1953,0.540597,0.154036
Stock1,1954,0.155482,0.03505
Stock1,1955,0.027456,0.002159
Stock1,1956,0.107428,0.02502
Stock1,1957,1.219035,0.23485
Stock1,1958,0.102352,0.038807
Stock1,1959,0.020835,0.00267
Stock1,1960,0.074127,0.014447
Stock1,1961,0.254331,0.198921
Stock1,1962,0.073653,0.026716
Stock1,1963,0.092222,0.004607
Stock1,1964,0.038889,0.00239
Stock1,1965,0.416779,0.023045
Stock1,1966,0.08304,0.01083
Stock1,1967,0.33927,0.021044
Stock1,1968,0.010412,0.001522
Stock1,1969,1.370633,0.109655
Stock1,1970,0.179544,0.032578
Stock1,1971,0.430503,0.09594
Stock1,1972,0.032207,0.004657
Stock1,1973,1.346407,0.299892
Stock1,1974,0.143525,0.039533
Stock1,1975,0.222859,0.065765
Stock1,1976,0.031834,0.011761
Stock1,1977,0.761122,0.117445
Stock1,1978,0.07265,0.050004
Stock1,1979,0.107696,0.092746
Stock1,1980,0.063491,0.016939
Stock1,1981,0.350095,0.138031
Stock1,1982,0.027803,0.004557
Stock1,1983,0.187709,0.023867
Stock1,1984,0.239403,0.045201
Stock1,1985,1.205936,0.237532
Stock1,1986,0.145883,0.028584
Stock1,1987,0.525912,0.148194
Stock1,1988,0.379236,0.179807
Stock1,1989,1.137681,0.384799
Stock1,1990,0.166084,0.097035
Stock1,1991,0.143773,0.141119
Stock1,1992,0.100366,0.066098
Stock1,1993,1.813936,0.688013
Stock1,1994,0.029024,0.029125
Stock1,1995,0.18958,0.122856
Stock1,1996,0.464146,0.087612
Stock1,1997,0.14737,0.26694
Stock1,1998,0.02869,0.03257
Stock1,1999,0.030566,0.02455
Stock1,2000,0.135874,0.089858
Stock1,2001,0.252001,0.170981
Stock1,2002,0.024566,0.024637
Stock1,2003,0.010019,0.013166
Stock1,2004,0.037464,0.009281
Stock1,2005,0.083963,0.098537
Stock1,2006,0.106616,0.035816
Stock1,2007,0.010698,0.005347
Stock1,2008,0.192951,0.029867
Stock1,2009,0.202891,0.045297
Stock1,2010,0.21608,0.060262
Stock1,2011,NA,0.000757
Stock1,2012,NA,0.02623
Stock1,2013,NA,0.086262
Stock1,2014,NA,0.06861
Stock1,2015,NA,0.010087
Stock2,1948,0.000327,NA
Stock2,1949,1.526554,0.107752
Stock2,1950,0.03909,0.005843
Stock2,1951,0.063644,0.004364
Stock2,1952,0.003887,0.000035
Stock2,1953,1.549542,0.368634
Stock2,1954,0.137815,0.00547
Stock2,1955,0.051316,0.007582
Stock2,1956,0.046102,0.000913
Stock2,1957,1.32901,0.531108
Stock2,1958,0.054005,0.023619
Stock2,1959,0.007325,0.008225
Stock2,1960,0.00959,0.002396
Stock2,1961,0.77792,0.410887
Stock2,1962,0.045024,0.018643
Stock2,1963,0.012024,0.003222
Stock2,1964,0.003041,0.001816
Stock2,1965,1.1242,0.214943
Stock2,1966,0.073805,0.009027
Stock2,1967,0.016332,0.001629
Stock2,1968,0.031299,0.000389
Stock2,1969,1.62278,0.207014
Stock2,1970,0.07052,0.014978
Stock2,1971,0.065527,0.001535
Stock2,1972,0.018766,0.007341
Stock2,1973,0.663965,0.21423
Stock2,1974,0.049861,0.01419
Stock2,1975,0.214575,0.014229
Stock2,1976,0.003339,0.002898
Stock2,1977,1.357637,0.146459
Stock2,1978,0.078748,0.012738
Stock2,1979,0.006854,0.031918
Stock2,1980,0.02144,0.000946
Stock2,1981,2.033901,0.249494
Stock2,1982,0.060796,0.016758
Stock2,1983,0.017912,0.002246
Stock2,1984,0.014522,0.001228
Stock2,1985,3.499874,0.274621
Stock2,1986,0.816297,0.028715
Stock2,1987,0.379087,0.006472
Stock2,1988,0.207234,0.007117
Stock2,1989,5.306868,0.575697
Stock2,1990,0.389339,0.189079
Stock2,1991,0.109227,0.07686
Stock2,1992,0.135399,0.019513
Stock2,1993,3.760174,1.804969
Stock2,1994,0.11544,0.076462
Stock2,1995,0.132088,0.034362
Stock2,1996,1.022393,0.062994
Stock2,1997,0.430814,0.907652
Stock2,1998,0.27695,0.138397
Stock2,1999,0.133599,0.061574
Stock2,2000,0.911116,0.454397
Stock2,2001,0.505314,0.351569
Stock2,2002,0.125932,0.034466
Stock2,2003,0.021772,0.036647
Stock2,2004,0.282698,0.083418
Stock2,2005,0.119578,0.293124
Stock2,2006,0.174511,0.027504
Stock2,2007,0.013694,0.008487
Stock2,2008,0.189915,0.146569
Stock2,2009,0.230379,0.086964
Stock2,2010,0.151246,0.075241
Stock2,2011,NA,0.003783
Stock2,2012,NA,0.093119
Stock2,2013,NA,0.131764
Stock2,2014,NA,0.050691
Stock2,2015,NA,0.011124
Stock3,1948,0.207177,0.015763
Stock3,1949,0.179743,0.10472
Stock3,1950,0.934487,0.145021
Stock3,1951,0.455341,0.096076
Stock3,1952,0.110678,0.040384
Stock3,1953,0.174215,0.042134
Stock3,1954,1.207988,0.141859
Stock3,1955,0.629768,0.051739
Stock3,1956,0.246643,0.038438
Stock3,1957,0.151835,0.038522
Stock3,1958,0.339304,0.112251
Stock3,1959,0.541403,0.079305
Stock3,1960,0.164495,0.03888
Stock3,1961,0.147114,0.046863
Stock3,1962,0.589405,0.124485
Stock3,1963,0.726949,0.138794
Stock3,1964,0.177643,0.03089
Stock3,1965,0.243472,0.039385
Stock3,1966,0.359073,0.101529
Stock3,1967,0.550236,0.09148
Stock3,1968,0.129737,0.030368
Stock3,1969,0.253114,0.049211
Stock3,1970,0.232938,0.045797
Stock3,1971,0.508759,0.039691
Stock3,1972,0.75601,0.0367
Stock3,1973,0.08589,0.030404
Stock3,1974,0.301286,0.041275
Stock3,1975,1.897353,0.175941
Stock3,1976,0.244207,0.150734
Stock3,1977,0.265626,0.023047
Stock3,1978,0.436545,0.058898
Stock3,1979,0.623893,0.290042
Stock3,1980,0.755199,0.07205
Stock3,1981,0.28587,0.021826
Stock3,1982,0.355873,0.06942
Stock3,1983,1.256351,0.121692
Stock3,1984,1.011019,0.060957
Stock3,1985,0.128655,0.042099
Stock3,1986,0.561822,0.077177
Stock3,1987,0.435662,0.211085
Stock3,1988,0.991341,0.367702
Stock3,1989,0.222259,0.043179
Stock3,1990,0.950691,0.09392
Stock3,1991,0.33631,0.094884
Stock3,1992,0.868186,0.097979
Stock3,1993,0.309831,0.091071
Stock3,1994,0.682058,0.136709
Stock3,1995,0.183884,0.122676
Stock3,1996,0.811978,0.332207
Stock3,1997,0.125173,0.055357
Stock3,1998,0.637924,0.185641
Stock3,1999,0.174462,0.138137
Stock3,2000,0.717671,0.371604
Stock3,2001,0.287128,0.151409
Stock3,2002,0.248328,0.322711
Stock3,2003,0.049127,0.078093
Stock3,2004,0.24575,0.086738
Stock3,2005,0.011525,0.175299
Stock3,2006,0.47281,0.147189
Stock3,2007,0.13793,0.041328
Stock3,2008,0.273972,0.159737
Stock3,2009,0.199053,0.027541
Stock3,2010,1.564019,0.202783
Stock3,2011,NA,0.085174
Stock3,2012,NA,0.137992
Stock3,2013,NA,0.097757
Stock3,2014,NA,0.506157
Stock3,2015,NA,0.101255
